test_index,total_responses,correct_responses,correct_after_revision,final_answer_accuracy,self_revision_rate,perplexity_per_language,logical_errors,numerical_errors,revision_attempts
22,11,4,0,0.36363636363636365,0.0,"{'en': 49.24824868961492, 'es': 31.63533985638275, 'fr': 28.6957101288191, 'de': 33.790901603056184, 'ru': 25.322065113553826, 'zh': 15.264813304770762, 'ja': 11.120000530843653, 'th': 10.56930379701773, 'sw': 36.76686229026435, 'bn': 29.09768642047676, 'te': 22.02903059759282, 'avg': 26.685451121126622}","['fr', 'ru', 'ja', 'th', 'sw', 'bn', 'te']","['fr', 'ru', 'ja', 'th', 'sw', 'bn', 'te']",{}
23,11,7,3,0.9090909090909091,0.75,"{'en': 29.88452078950635, 'es': 25.511897540985874, 'fr': 24.604396548267356, 'de': 26.719638366948335, 'ru': 23.39428252766981, 'zh': 15.363425660940502, 'ja': 24.68698444854711, 'th': 32.966603127387714, 'sw': 25.47907806273605, 'bn': 47.65499956328989, 'te': 39.859639333475485, 'avg': 28.738678724523137}",['te'],['te'],"{'ja': 0, 'th': 0, 'bn': 3}"
24,11,10,0,0.9090909090909091,0.0,"{'en': 29.44967734551614, 'es': 26.747090117118915, 'fr': 30.409029316857673, 'de': 36.80518471426387, 'ru': 19.6584725915257, 'zh': 15.729686560756384, 'ja': 6.999999999999998, 'th': 12.883922655594034, 'sw': 23.14558753703296, 'bn': 19.048812623618385, 'te': 11.0, 'avg': 21.079769405662187}",['th'],['th'],{}
25,11,6,4,0.9090909090909091,0.8,"{'en': 49.904473486156995, 'es': 28.06446442300299, 'fr': 34.35356098860256, 'de': 67.8173100229229, 'ru': 29.44967734551614, 'zh': 10.94970070458694, 'ja': 13.776941324203355, 'th': 28.726778548216544, 'sw': 17.66613667906696, 'bn': 58.91185036173853, 'te': 26.925535878590964, 'avg': 33.32240270569135}",['te'],['te'],"{'en': 0, 'de': 1, 'th': 0, 'bn': 0}"
26,11,1,7,0.7272727272727273,0.7,"{'en': 85.02378245065299, 'es': 36.741201083556184, 'fr': 53.70430984872962, 'de': 62.40690991307196, 'ru': 82.35917949048229, 'zh': 32.83816798048504, 'ja': 26.908685288118864, 'th': 41.130108685422464, 'sw': 23.104746081056643, 'bn': 33.787122465565325, 'te': 41.748086973557776, 'avg': 47.250209114609014}","['sw', 'bn', 'te']","['sw', 'bn', 'te']","{'en': 0, 'fr': 0, 'de': 0, 'ru': 0, 'zh': 0, 'ja': 0, 'th': 0}"
27,11,0,1,0.09090909090909091,0.09090909090909091,"{'en': 45.83261375312927, 'es': 22.957658090607556, 'fr': 51.57382895622158, 'de': 19.282251640076307, 'ru': 37.717438000357454, 'zh': 25.61948096530401, 'ja': 21.56518832012239, 'th': 14.277848870358795, 'sw': 45.452023823934596, 'bn': 29.530807453578422, 'te': 34.0169531628893, 'avg': 31.620553912416334}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'th', 'sw', 'bn', 'te']",{'ja': 0}
28,11,4,5,0.8181818181818182,0.7142857142857143,"{'en': 32.860409268179446, 'es': 28.632311948727683, 'fr': 34.250864848311366, 'de': 36.036154231424995, 'ru': 75.37741506120518, 'zh': 32.139566603300544, 'ja': 26.652818580083512, 'th': 9.570163531152758, 'sw': 52.507612483604355, 'bn': 56.50624122351791, 'te': 39.913812139647526, 'avg': 38.586124538105025}","['th', 'te']","['th', 'te']","{'ru': 0, 'zh': 0, 'ja': 0, 'sw': 0, 'bn': 1}"
29,11,5,3,0.7272727272727273,0.5,"{'en': 53.81915479438825, 'es': 65.09179554917328, 'fr': 36.316992356635375, 'de': 27.646318597452368, 'ru': 27.94479463299824, 'zh': 11.606706301758292, 'ja': 14.142135623730953, 'th': 27.493832356463567, 'sw': 33.36233786953051, 'bn': 45.94667039250449, 'te': 33.76290941043225, 'avg': 34.28487708046069}","['fr', 'sw', 'te']","['fr', 'sw', 'te']","{'es': 0, 'th': 0, 'bn': 0}"
30,11,0,2,0.18181818181818182,0.18181818181818182,"{'en': 65.72852902015232, 'es': 34.90100056739267, 'fr': 67.02973181540152, 'de': 62.91030742368555, 'ru': 62.98383959520023, 'zh': 32.199927745665114, 'ja': 29.15757712329072, 'th': 9.430631735462148, 'sw': 25.755832199931152, 'bn': 49.2562147133834, 'te': 55.15969946858406, 'avg': 44.95575376437717}","['en', 'es', 'fr', 'de', 'ru', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'th', 'sw', 'bn', 'te']","{'zh': 0, 'ja': 0}"
31,11,0,5,0.45454545454545453,0.45454545454545453,"{'en': 65.8464802588712, 'es': 54.709484052186305, 'fr': 26.358759134841996, 'de': 19.349136745506996, 'ru': 55.52661525023528, 'zh': 30.807258322583387, 'ja': 25.065446663833253, 'th': 10.805406643210913, 'sw': 17.492764570980356, 'bn': 31.367506250001874, 'te': 40.76697268756124, 'avg': 34.37234823452844}","['fr', 'de', 'th', 'sw', 'bn', 'te']","['fr', 'de', 'th', 'sw', 'bn', 'te']","{'en': 0, 'es': 0, 'ru': 0, 'zh': 1, 'ja': 0}"
32,11,11,0,1.0,0,"{'en': 28.879118895545297, 'es': 28.735278588159055, 'fr': 37.71476590620478, 'de': 24.68930950747283, 'ru': 27.546297080152897, 'zh': 16.302110365284392, 'ja': 8.549234549740058, 'th': 12.46856844214182, 'sw': 19.601244954242222, 'bn': 20.38800790446581, 'te': 11.484694984106929, 'avg': 21.4871482888651}",[],[],{}
33,11,8,2,0.9090909090909091,0.6666666666666666,"{'en': 24.969320993674724, 'es': 35.44379339286957, 'fr': 33.56203849094799, 'de': 31.67806322786679, 'ru': 27.916688391502838, 'zh': 9.440748564743116, 'ja': 34.96473166023937, 'th': 32.922696032909535, 'sw': 24.432151317968046, 'bn': 16.018078250040414, 'te': 31.95187445698564, 'avg': 27.572744070886188}",['te'],['te'],"{'ja': 0, 'th': 0}"
34,11,3,3,0.5454545454545454,0.375,"{'en': 22.701775944914196, 'es': 20.906400445373915, 'fr': 49.33139716604363, 'de': 16.478173350255318, 'ru': 17.789799655416324, 'zh': 13.461872903205073, 'ja': 16.0, 'th': 12.199194664950241, 'sw': 15.88335956382508, 'bn': 41.780659990334236, 'te': 28.911468905981014, 'avg': 23.222191144572637}","['es', 'de', 'th', 'sw', 'te']","['es', 'de', 'th', 'sw', 'te']","{'fr': 0, 'ja': 0, 'bn': 0}"
35,11,6,2,0.7272727272727273,0.4,"{'en': 13.227610430480386, 'es': 33.24119490148144, 'fr': 24.7412923892431, 'de': 40.350790407115774, 'ru': 24.335772454317162, 'zh': 18.486627926518285, 'ja': 8.144691730785198, 'th': 22.02908045173222, 'sw': 21.839395029041675, 'bn': 40.19365321730238, 'te': 21.76165583826365, 'avg': 24.395614979661936}","['de', 'ja', 'te']","['de', 'ja', 'te']","{'th': 0, 'bn': 0}"
36,11,6,3,0.8181818181818182,0.6,"{'en': 26.47344642825261, 'es': 24.148537808418418, 'fr': 31.817074769040836, 'de': 26.30363295984682, 'ru': 23.00676231735375, 'zh': 16.53325750989567, 'ja': 32.17035839895429, 'th': 36.84635474510424, 'sw': 18.88149712948623, 'bn': 40.85264750818729, 'te': 32.4470473591356, 'avg': 28.13460153942507}","['es', 'te']","['es', 'te']","{'ja': 0, 'th': 0, 'bn': 0}"
37,11,5,4,0.8181818181818182,0.6666666666666666,"{'en': 36.18491900178949, 'es': 36.338431015032285, 'fr': 35.66815686725315, 'de': 35.14123197471364, 'ru': 65.00492229180367, 'zh': 17.55318214798086, 'ja': 23.217521210195645, 'th': 30.25515628527333, 'sw': 16.248761117111844, 'bn': 51.94961070220534, 'te': 38.28538518810216, 'avg': 35.07702525467831}","['sw', 'te']","['sw', 'te']","{'ru': 0, 'ja': 3, 'th': 0, 'bn': 0}"
38,11,1,2,0.2727272727272727,0.2,"{'en': 42.1685700707504, 'es': 30.478857505625133, 'fr': 48.74645830749808, 'de': 26.368817246356272, 'ru': 45.19224097293929, 'zh': 36.1420396566521, 'ja': 11.808110953509772, 'th': 13.279169524638391, 'sw': 22.22241616508806, 'bn': 75.60734161994455, 'te': 45.79939253241036, 'avg': 36.164855868673854}","['es', 'fr', 'de', 'ru', 'ja', 'th', 'sw', 'te']","['es', 'fr', 'de', 'ru', 'ja', 'th', 'sw', 'te']","{'zh': 0, 'bn': 3}"
39,11,1,4,0.45454545454545453,0.4,"{'en': 68.6182718324246, 'es': 35.97002920927507, 'fr': 57.64815010842624, 'de': 69.16442481234799, 'ru': 26.565448257436607, 'zh': 32.296612876145794, 'ja': 30.45106987166428, 'th': 9.657438842417832, 'sw': 54.11758346835345, 'bn': 25.56075753635054, 'te': 20.276481223145627, 'avg': 39.12056982163528}","['en', 'fr', 'ru', 'th', 'bn', 'te']","['en', 'fr', 'ru', 'th', 'bn', 'te']","{'de': 0, 'zh': 0, 'ja': 2, 'sw': 0}"
40,11,0,4,0.36363636363636365,0.36363636363636365,"{'en': 66.78445009606396, 'es': 35.228576247337934, 'fr': 87.96571784621597, 'de': 79.41634631078996, 'ru': 45.297313582346646, 'zh': 18.945126640203675, 'ja': 21.71396837556268, 'th': 29.033524757472087, 'sw': 23.026171798548706, 'bn': 34.92519002919452, 'te': 50.89913801183451, 'avg': 44.83959306323369}","['es', 'ru', 'zh', 'ja', 'sw', 'bn', 'te']","['es', 'ru', 'zh', 'ja', 'sw', 'bn', 'te']","{'en': 1, 'fr': 1, 'de': 0, 'th': 0}"
41,11,7,2,0.8181818181818182,0.5,"{'en': 19.083420210937977, 'es': 20.349366472571603, 'fr': 19.725178921195408, 'de': 20.663816536263756, 'ru': 21.15593501471857, 'zh': 23.81241757946616, 'ja': 8.549234549740058, 'th': 12.866673447975028, 'sw': 21.12312066929017, 'bn': 37.17795673097821, 'te': 22.520688108543, 'avg': 20.63889165833454}","['zh', 'te']","['zh', 'te']","{'ja': 1, 'bn': 0}"
42,11,4,0,0.36363636363636365,0.0,"{'en': 68.47444181022391, 'es': 43.35319713307459, 'fr': 27.193987844754858, 'de': 49.321824315100905, 'ru': 52.38575095145566, 'zh': 19.578964997515964, 'ja': 6.0, 'th': 12.760007414262837, 'sw': 32.34292349794325, 'bn': 87.6434629827159, 'te': 102.87164199921793, 'avg': 45.62965481329689}","['en', 'ru', 'zh', 'th', 'sw', 'bn', 'te']","['en', 'ru', 'zh', 'th', 'sw', 'bn', 'te']",{}
43,11,8,2,0.9090909090909091,0.6666666666666666,"{'en': 34.57115167747968, 'es': 37.97252819264686, 'fr': 45.39645790524295, 'de': 37.12099097448743, 'ru': 38.3418250616766, 'zh': 14.270485380032651, 'ja': 11.484694984106929, 'th': 26.5660811659613, 'sw': 31.421076194016372, 'bn': 77.6205025544954, 'te': 61.93599687440463, 'avg': 37.881980996777344}",['te'],['te'],"{'th': 0, 'bn': 0}"
44,11,0,0,0.0,0.0,"{'en': 60.4518283478678, 'es': 30.604636969651867, 'fr': 65.67937885112153, 'de': 43.989715673820264, 'ru': 42.33756529899359, 'zh': 22.031898050905696, 'ja': 16.993339256007587, 'th': 11.938571386434552, 'sw': 51.77393816619231, 'bn': 64.85297638025571, 'te': 44.22351520032158, 'avg': 41.35248759832477}","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'de', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{}
45,11,11,0,1.0,0,"{'en': 30.993832576801704, 'es': 28.325124071387478, 'fr': 32.7898372935723, 'de': 27.915347873819357, 'ru': 26.856351689810253, 'zh': 13.770081466019167, 'ja': 12.680131299694695, 'th': 14.765760106200775, 'sw': 24.17977224820421, 'bn': 18.21057215746584, 'te': 9.697503804956234, 'avg': 21.834937689812}",[],[],{}
46,11,0,3,0.2727272727272727,0.2727272727272727,"{'en': 72.09249047304417, 'es': 39.63128212089429, 'fr': 46.24022664181238, 'de': 83.84221403615503, 'ru': 56.252759817762424, 'zh': 23.758791523511714, 'ja': 29.617135256195677, 'th': 13.8766275144871, 'sw': 28.48449743435697, 'bn': 53.13157990583748, 'te': 94.21646126295987, 'avg': 49.19491508972883}","['es', 'fr', 'ru', 'ja', 'th', 'sw', 'bn', 'te']","['es', 'fr', 'ru', 'ja', 'th', 'sw', 'bn', 'te']","{'en': 0, 'de': 0, 'zh': 0}"
47,11,1,1,0.18181818181818182,0.1,"{'en': 49.30324948536756, 'es': 38.665616115378064, 'fr': 39.78716030831452, 'de': 84.1852486534928, 'ru': 47.98461591710313, 'zh': 7.403512239295771, 'ja': 10.152734440096644, 'th': 12.63720035897393, 'sw': 26.52055510181435, 'bn': 33.99969819757378, 'te': 33.2984240901112, 'avg': 34.903455900683795}","['en', 'fr', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'fr', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{'de': 0}
48,11,0,1,0.09090909090909091,0.09090909090909091,"{'en': 46.308429359423364, 'es': 25.013792828749423, 'fr': 34.38407572503258, 'de': 56.31968524865583, 'ru': 42.174740064067294, 'zh': 20.909028861886874, 'ja': 19.558991160111844, 'th': 11.343995026726818, 'sw': 18.382985653397263, 'bn': 27.146415867156442, 'te': 38.77414965428316, 'avg': 30.937844495408264}","['en', 'es', 'fr', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']","['en', 'es', 'fr', 'ru', 'zh', 'ja', 'th', 'sw', 'bn', 'te']",{'de': 0}
49,11,9,1,0.9090909090909091,0.5,"{'en': 23.55325337106622, 'es': 26.990463414197226, 'fr': 26.52503991393196, 'de': 23.19671331704677, 'ru': 36.05001850443321, 'zh': 13.192185854839233, 'ja': 12.46856844214182, 'th': 37.10806039935146, 'sw': 26.062616789516383, 'bn': 18.848384679465934, 'te': 23.62421440625554, 'avg': 24.32904719020416}",['te'],['te'],{'th': 0}
50,11,7,3,0.9090909090909091,0.75,"{'en': 32.644714099254436, 'es': 34.95151615696484, 'fr': 37.224800845392295, 'de': 27.98089356138664, 'ru': 26.080142925204328, 'zh': 14.473967600715792, 'ja': 10.503129936189447, 'th': 34.87345451236952, 'sw': 61.34493492864751, 'bn': 47.131297341558714, 'te': 34.50637932925275, 'avg': 32.883202839721484}",['te'],['te'],"{'th': 0, 'sw': 0, 'bn': 0}"
51,11,3,3,0.5454545454545454,0.375,"{'en': 35.14123197471364, 'es': 16.676964537958703, 'fr': 38.71085407411994, 'de': 22.515452377980125, 'ru': 56.89020455059003, 'zh': 34.732546237163014, 'ja': 25.466575331813136, 'th': 10.563511926936659, 'sw': 27.334530856250755, 'bn': 29.007588930890012, 'te': 37.796189769378074, 'avg': 30.439604597072194}","['es', 'de', 'th', 'bn', 'te']","['es', 'de', 'th', 'bn', 'te']","{'ru': 0, 'zh': 0, 'ja': 0}"
52,11,3,2,0.45454545454545453,0.25,"{'en': 82.88969580915632, 'es': 67.62988867326102, 'fr': 40.697708655577586, 'de': 72.18526578667134, 'ru': 45.521302971711684, 'zh': 15.385134912189871, 'ja': 13.021461985045098, 'th': 10.423209538519643, 'sw': 27.722434247078894, 'bn': 28.38148538303923, 'te': 22.30613852603961, 'avg': 38.74215695348094}","['en', 'fr', 'ru', 'th', 'bn', 'te']","['en', 'fr', 'ru', 'th', 'bn', 'te']","{'es': 0, 'de': 0}"
53,11,9,2,1.0,1.0,"{'en': 22.6921374925023, 'es': 31.957186892142843, 'fr': 26.027116197089544, 'de': 31.020572776628413, 'ru': 53.95174413786057, 'zh': 13.855401600178658, 'ja': 12.480502938311423, 'th': 11.896219369500564, 'sw': 21.739993385567107, 'bn': 20.957066156607222, 'te': 46.05329787457707, 'avg': 26.602839892815066}",[],[],"{'ru': 0, 'te': 0}"
54,11,10,1,1.0,1.0,"{'en': 25.605730110511253, 'es': 27.52666173500745, 'fr': 26.525971820683516, 'de': 25.689826283013886, 'ru': 20.840650237260732, 'zh': 14.200893326295246, 'ja': 12.85434077794852, 'th': 13.229171023896166, 'sw': 24.784217878168228, 'bn': 60.565151163292875, 'te': 13.192185854839233, 'avg': 24.092254564628828}",[],[],{'bn': 0}
55,11,3,2,0.45454545454545453,0.25,"{'en': 24.06760879772001, 'es': 30.03155245697899, 'fr': 101.744360124908, 'de': 22.577523774654615, 'ru': 29.45671739684787, 'zh': 23.64095904521958, 'ja': 25.76412026931108, 'th': 13.947840602572422, 'sw': 59.24302269134357, 'bn': 66.53067716563986, 'te': 92.53966695558476, 'avg': 44.50400448007098}","['es', 'zh', 'th', 'sw', 'bn', 'te']","['es', 'zh', 'th', 'sw', 'bn', 'te']","{'fr': 0, 'ja': 0}"
56,11,8,3,1.0,1.0,"{'en': 17.098469099480116, 'es': 18.21057215746584, 'fr': 18.94645708137998, 'de': 29.706406116694733, 'ru': 22.96938996821387, 'zh': 13.288983888448918, 'ja': 6.999999999999998, 'th': 27.82011597861356, 'sw': 16.245047927124716, 'bn': 58.80392695801104, 'te': 33.11183227349161, 'avg': 23.927381949902216}",[],[],"{'th': 0, 'bn': 0, 'te': 0}"
